epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,563.305,0.68391,0.54722,1.04073,0.85775,0.74959,0.81314,0.54642,1.20607,0.80523,1.31284,0.000848969,0.000848969,0.000848969
43,577.112,0.67534,0.53788,1.03774,0.84768,0.76897,0.82524,0.55427,1.2035,0.7943,1.31749,0.000834822,0.000834822,0.000834822
44,591.228,0.67329,0.532,1.04589,0.86639,0.7649,0.84351,0.56165,1.19807,0.75738,1.31676,0.000820675,0.000820675,0.000820675
45,605.666,0.6593,0.52342,1.03679,0.81703,0.75626,0.82874,0.56282,1.18078,0.76065,1.28699,0.000806528,0.000806528,0.000806528
46,619.572,0.63544,0.51255,1.02019,0.85054,0.77652,0.83505,0.56875,1.1681,0.73234,1.29435,0.00079238,0.00079238,0.00079238
47,633.262,0.65807,0.51638,1.02876,0.86631,0.77919,0.85366,0.57961,1.16285,0.74579,1.28894,0.000778233,0.000778233,0.000778233
48,646.762,0.66622,0.51326,1.03901,0.89307,0.7582,0.84642,0.57378,1.14785,0.74641,1.28816,0.000764086,0.000764086,0.000764086
49,660.345,0.63913,0.50943,1.02166,0.78248,0.79358,0.79743,0.5437,1.16604,0.82608,1.30412,0.000749939,0.000749939,0.000749939
50,673.945,0.61585,0.50272,1.01237,0.84862,0.80848,0.86417,0.58635,1.16044,0.72829,1.26513,0.000735792,0.000735792,0.000735792
51,687.441,0.60078,0.45944,1.00463,0.83743,0.74566,0.84041,0.57035,1.14069,0.7531,1.25499,0.000721645,0.000721645,0.000721645
52,700.728,0.61244,0.48873,0.99893,0.87788,0.76936,0.85031,0.57317,1.15284,0.73071,1.26716,0.000707498,0.000707498,0.000707498
53,714.12,0.59738,0.46071,1.00956,0.86868,0.78929,0.84905,0.5672,1.13618,0.73631,1.27129,0.000693351,0.000693351,0.000693351
54,727.547,0.59128,0.48481,1.01391,0.81195,0.78548,0.83005,0.57494,1.11845,0.74558,1.27599,0.000679204,0.000679204,0.000679204
55,741.68,0.58431,0.47255,0.99804,0.85079,0.81104,0.86574,0.58562,1.14434,0.71384,1.25343,0.000665057,0.000665057,0.000665057
56,755.058,0.61822,0.47175,1.01091,0.85545,0.77772,0.86638,0.59458,1.11907,0.70341,1.24353,0.000650909,0.000650909,0.000650909
57,769.355,0.60232,0.46396,1.00898,0.84757,0.80807,0.866,0.60273,1.11034,0.69359,1.23273,0.000636762,0.000636762,0.000636762
58,784.017,0.5807,0.45602,0.98863,0.86741,0.7813,0.87049,0.59106,1.1175,0.707,1.24825,0.000622615,0.000622615,0.000622615
59,802.796,0.5771,0.47379,1.00232,0.85857,0.80298,0.86378,0.60167,1.09302,0.66363,1.24238,0.000608468,0.000608468,0.000608468
60,825.189,0.56678,0.44624,0.99413,0.8599,0.81319,0.86497,0.60309,1.10013,0.67592,1.24268,0.000594321,0.000594321,0.000594321
61,841.943,0.58759,0.45737,1.00059,0.87951,0.81518,0.87729,0.6115,1.08974,0.64559,1.22832,0.000580174,0.000580174,0.000580174
62,856.788,0.55656,0.43199,0.98263,0.86854,0.80333,0.87087,0.61306,1.07445,0.66839,1.21709,0.000566027,0.000566027,0.000566027
63,871.268,0.57073,0.45355,0.98735,0.89286,0.81747,0.88634,0.62085,1.08265,0.64051,1.21561,0.00055188,0.00055188,0.00055188
64,885.433,0.55391,0.42734,0.97705,0.81046,0.78605,0.84776,0.59212,1.10095,0.72819,1.23149,0.000537733,0.000537733,0.000537733
65,899.534,0.5618,0.42279,0.98109,0.82091,0.84689,0.86644,0.62228,1.06233,0.63482,1.18621,0.000523586,0.000523586,0.000523586
66,913.385,0.5378,0.432,0.97111,0.87396,0.81653,0.88712,0.62416,1.06062,0.65281,1.20527,0.000509438,0.000509438,0.000509438
67,927.073,0.54015,0.414,0.97343,0.8672,0.81336,0.8863,0.62727,1.06103,0.6444,1.20423,0.000495291,0.000495291,0.000495291
68,940.777,0.54174,0.42327,0.97286,0.90332,0.8005,0.88682,0.63335,1.06318,0.62929,1.2128,0.000481144,0.000481144,0.000481144
69,954.558,0.52555,0.40658,0.96397,0.90652,0.81892,0.8973,0.63588,1.05716,0.63189,1.20024,0.000466997,0.000466997,0.000466997
70,968.074,0.5372,0.419,0.96847,0.9006,0.82885,0.89958,0.64758,1.04055,0.60854,1.19434,0.00045285,0.00045285,0.00045285
