epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5379.15,0.79954,0.64407,0.97112,0.8678,0.82121,0.90945,0.76638,0.69431,0.55814,0.90793,0.000742625,0.000742625,0.000742625
43,5509.17,0.79497,0.63655,0.96564,0.8762,0.83472,0.91913,0.77966,0.67425,0.54036,0.89989,0.00073025,0.00073025,0.00073025
44,5639.15,0.80303,0.63616,0.96971,0.88463,0.83888,0.92515,0.7835,0.67227,0.53598,0.90069,0.000717875,0.000717875,0.000717875
45,5770.69,0.78345,0.63034,0.96454,0.87693,0.84857,0.92502,0.78554,0.66594,0.52782,0.89623,0.0007055,0.0007055,0.0007055
46,5902.44,0.7845,0.62346,0.96223,0.87714,0.8483,0.9228,0.78081,0.67867,0.53297,0.89693,0.000693125,0.000693125,0.000693125
47,6032.14,0.77371,0.61359,0.95828,0.88112,0.83725,0.92259,0.77353,0.69047,0.53647,0.9007,0.00068075,0.00068075,0.00068075
48,6165.53,0.77982,0.62351,0.96077,0.88357,0.84281,0.92522,0.78352,0.66545,0.5241,0.89398,0.000668375,0.000668375,0.000668375
49,6297.14,0.77473,0.61755,0.95787,0.87659,0.8434,0.92662,0.78902,0.66412,0.52208,0.89227,0.000656,0.000656,0.000656
50,6430.79,0.76145,0.609,0.95636,0.88725,0.85615,0.93241,0.79559,0.65876,0.51316,0.88941,0.000643625,0.000643625,0.000643625
51,6564.74,0.7687,0.60684,0.95612,0.89264,0.85896,0.93603,0.79846,0.65531,0.50294,0.88765,0.00063125,0.00063125,0.00063125
52,6698.17,0.75717,0.60249,0.95402,0.90608,0.84911,0.93728,0.80339,0.64313,0.49721,0.88568,0.000618875,0.000618875,0.000618875
53,6830.25,0.75723,0.59412,0.949,0.90405,0.84999,0.93757,0.80094,0.64846,0.49523,0.88608,0.0006065,0.0006065,0.0006065
54,6962.89,0.75605,0.59624,0.95155,0.89258,0.86109,0.93856,0.80042,0.65424,0.49748,0.88647,0.000594125,0.000594125,0.000594125
55,7097.25,0.74989,0.59294,0.94848,0.89673,0.86366,0.93983,0.80247,0.64037,0.4917,0.88016,0.00058175,0.00058175,0.00058175
56,7228.57,0.74145,0.57934,0.94314,0.90124,0.862,0.93799,0.80849,0.62575,0.48142,0.87875,0.000569375,0.000569375,0.000569375
57,7361.73,0.74248,0.57656,0.94652,0.89733,0.86952,0.94429,0.81454,0.63067,0.47737,0.87613,0.000557,0.000557,0.000557
58,7494.95,0.7391,0.57474,0.94242,0.90877,0.86691,0.94039,0.8094,0.6303,0.48177,0.87614,0.000544625,0.000544625,0.000544625
59,7630.81,0.73435,0.56968,0.94229,0.90343,0.8688,0.94299,0.81515,0.6255,0.47508,0.87381,0.00053225,0.00053225,0.00053225
60,7764.06,0.72939,0.57189,0.94346,0.90784,0.87309,0.94741,0.81973,0.61779,0.46651,0.8717,0.000519875,0.000519875,0.000519875
61,7897.28,0.72625,0.56726,0.94095,0.90449,0.88249,0.94865,0.81978,0.62518,0.46331,0.87573,0.0005075,0.0005075,0.0005075
62,8030.65,0.72265,0.56356,0.93728,0.91006,0.87631,0.94857,0.82126,0.61726,0.46277,0.87102,0.000495125,0.000495125,0.000495125
63,8167.36,0.71767,0.56213,0.93973,0.90557,0.88646,0.95178,0.82366,0.61524,0.45614,0.86964,0.00048275,0.00048275,0.00048275
64,8304.2,0.71462,0.5536,0.93431,0.91307,0.87962,0.95145,0.82225,0.61702,0.45352,0.86992,0.000470375,0.000470375,0.000470375
65,8437.99,0.70954,0.54472,0.93188,0.91056,0.89071,0.95335,0.82756,0.61017,0.44633,0.86542,0.000458,0.000458,0.000458
66,8573.37,0.70928,0.54595,0.93325,0.91543,0.88606,0.95213,0.82947,0.59855,0.44319,0.86345,0.000445625,0.000445625,0.000445625
67,8707.98,0.7102,0.54744,0.93596,0.9151,0.89345,0.95774,0.83296,0.60458,0.44197,0.86315,0.00043325,0.00043325,0.00043325
68,8845.14,0.69812,0.53331,0.92941,0.92227,0.89338,0.95812,0.83511,0.59817,0.43388,0.862,0.000420875,0.000420875,0.000420875
69,8980.02,0.69188,0.52715,0.92596,0.92236,0.89207,0.95936,0.83874,0.59255,0.42879,0.85787,0.0004085,0.0004085,0.0004085
70,9114.28,0.69304,0.52571,0.92585,0.92548,0.88792,0.95733,0.83777,0.59386,0.42825,0.85598,0.000396125,0.000396125,0.000396125
71,9250.55,0.68988,0.52713,0.92317,0.92945,0.89089,0.95982,0.83842,0.59188,0.42842,0.85577,0.00038375,0.00038375,0.00038375
72,9390.56,0.68203,0.52228,0.92212,0.92557,0.90259,0.96363,0.84791,0.58028,0.41839,0.85459,0.000371375,0.000371375,0.000371375
73,9529.06,0.6846,0.52343,0.92274,0.92702,0.89789,0.96268,0.84558,0.58035,0.4157,0.85299,0.000359,0.000359,0.000359
74,9666.46,0.68291,0.51471,0.92371,0.9324,0.89717,0.96392,0.84613,0.57714,0.41244,0.85137,0.000346625,0.000346625,0.000346625
75,9804.11,0.67918,0.51365,0.92143,0.92599,0.90366,0.96301,0.84636,0.58003,0.4162,0.85057,0.00033425,0.00033425,0.00033425
76,9938.94,0.67639,0.50846,0.91857,0.93038,0.90549,0.96556,0.85135,0.57218,0.40722,0.84871,0.000321875,0.000321875,0.000321875
77,10077.5,0.67106,0.50753,0.91938,0.93223,0.90523,0.9653,0.852,0.56703,0.40372,0.84697,0.0003095,0.0003095,0.0003095
78,10216.7,0.66718,0.50585,0.91841,0.93959,0.90426,0.96695,0.8533,0.56949,0.40312,0.84682,0.000297125,0.000297125,0.000297125
79,10355.2,0.66626,0.4971,0.91702,0.93155,0.91128,0.96774,0.85493,0.56193,0.39839,0.84464,0.00028475,0.00028475,0.00028475
80,10497.1,0.66212,0.49198,0.91199,0.94471,0.90401,0.96872,0.85713,0.55977,0.39329,0.84334,0.000272375,0.000272375,0.000272375
81,10630,0.65944,0.49549,0.91459,0.9421,0.90562,0.96937,0.85688,0.55924,0.39444,0.84255,0.00026,0.00026,0.00026
82,10760,0.6499,0.48653,0.90837,0.94279,0.90926,0.96961,0.86042,0.55655,0.39144,0.84127,0.000247625,0.000247625,0.000247625
83,10887.6,0.65042,0.48529,0.90996,0.94194,0.9061,0.9692,0.85777,0.56103,0.39191,0.84237,0.00023525,0.00023525,0.00023525
84,11012.9,0.64657,0.48497,0.91013,0.94739,0.91339,0.97188,0.86229,0.55155,0.38469,0.83943,0.000222875,0.000222875,0.000222875
85,11139.5,0.65045,0.48412,0.9099,0.94492,0.91456,0.97134,0.86203,0.55382,0.3852,0.84084,0.0002105,0.0002105,0.0002105
86,11265.8,0.64367,0.48018,0.90825,0.94457,0.91537,0.97315,0.86597,0.54737,0.37953,0.83705,0.000198125,0.000198125,0.000198125
87,11392.9,0.648,0.47734,0.9071,0.9436,0.91555,0.97231,0.86377,0.54931,0.37923,0.83759,0.00018575,0.00018575,0.00018575
88,11525.4,0.63805,0.47674,0.90748,0.93954,0.92044,0.97315,0.86508,0.54399,0.37683,0.83494,0.000173375,0.000173375,0.000173375
89,11649.3,0.63473,0.4693,0.90619,0.94072,0.91977,0.97253,0.86522,0.5424,0.37603,0.83493,0.000161,0.000161,0.000161
90,11772.9,0.635,0.46997,0.90401,0.94796,0.91734,0.97356,0.86688,0.54015,0.37222,0.83403,0.000148625,0.000148625,0.000148625
91,11905.9,0.59949,0.41793,0.88377,0.94627,0.91174,0.97159,0.86171,0.55044,0.37745,0.83732,0.00013625,0.00013625,0.00013625
92,12027.4,0.58901,0.40626,0.87882,0.95062,0.91826,0.97422,0.86876,0.54298,0.37135,0.8343,0.000123875,0.000123875,0.000123875
93,12149.2,0.58234,0.40045,0.87699,0.95249,0.91636,0.97419,0.86843,0.54045,0.36719,0.83404,0.0001115,0.0001115,0.0001115
94,12271.2,0.5763,0.39587,0.87744,0.95164,0.91961,0.97499,0.87152,0.53665,0.36431,0.83241,9.9125e-05,9.9125e-05,9.9125e-05
95,12392.7,0.57383,0.39473,0.87728,0.95171,0.92105,0.97505,0.8716,0.53445,0.36287,0.83253,8.675e-05,8.675e-05,8.675e-05
96,12514.9,0.56899,0.38906,0.87318,0.95174,0.92417,0.97536,0.87291,0.53144,0.35892,0.83112,7.4375e-05,7.4375e-05,7.4375e-05
97,12636.4,0.56852,0.38735,0.87412,0.95483,0.92305,0.97612,0.87561,0.52822,0.35726,0.82975,6.2e-05,6.2e-05,6.2e-05
98,12758,0.56437,0.38268,0.87182,0.95082,0.92789,0.97679,0.8766,0.52758,0.35489,0.82886,4.9625e-05,4.9625e-05,4.9625e-05
99,12879.3,0.56162,0.3818,0.8705,0.95483,0.92402,0.97673,0.87647,0.52649,0.35332,0.82866,3.725e-05,3.725e-05,3.725e-05
100,13000.7,0.55844,0.37869,0.87044,0.95731,0.92375,0.97722,0.87658,0.52537,0.35248,0.82831,2.4875e-05,2.4875e-05,2.4875e-05
